frame,timestamp,can_track_id,x1,y1,x2,y2
3970,634.19,26,417,772,549,956
3971,634.35,26,416,769,550,956
3972,634.5,26,415,766,550,955
3973,634.66,26,413,764,550,955
3974,634.82,26,412,761,551,955
3975,634.98,26,410,758,551,954
3976,635.14,26,409,755,551,954
3977,635.3,26,408,753,552,954
3978,635.46,26,406,750,552,953
3979,635.62,26,405,747,552,953
3980,635.78,26,403,744,552,953
3981,635.94,26,402,742,553,952
3982,636.1,26,401,739,553,952
3983,636.26,26,399,736,553,952
3984,636.42,26,398,734,554,951
3985,636.58,26,396,731,554,951
3986,636.74,26,395,728,554,951
3987,636.9,26,393,725,555,950
3988,637.06,26,392,723,555,950
3989,637.22,26,391,720,555,950
